Name of Initiative,Organization Name,Location Name,Location 1,Street Address Line 1,Street Address Line 2,City,State,ZIP Code,Telephone Number,NPI,Category,Unique ID
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Kaiser Foundation Health Plan Of Colorado,Kaiser Fndt Health Plan Of Colorado,"280 Exempla Circle  Lafayette CO 80026 (39.972218, -105.088093)",280 Exempla Circle,,Lafayette,CO,80026,(303) 614-1070,1356459564,Administrative Location,236
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Kaiser Foundation Health Plan Of Colorado,Kaiser Fndt Health Plan Of Colorado,"4105 Briargate Parkway  Colorado Springs CO 80920 (38.965185, -104.75295)",4105 Briargate Parkway,,Colorado Springs,CO,80920,(303) 614-1070,1356459564,Administrative Location,237
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Kaiser Foundation Health Plan Of Colorado,Kaiser Fndt Health Plan Of Colorado,"4318 Trail Boss Drive  Castle Rock CO 80104 (39.405953, -104.85811)",4318 Trail Boss Drive,,Castle Rock,CO,80104,(303) 614-1070,1356459564,Administrative Location,238
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Kaiser Foundation Health Plan Of Colorado,Kaiser Fndt Health Plan Of Colorado,"5257 S Wadsworth Blvd  Littleton CO 80123 (39.621395, -105.08829)",5257 S Wadsworth Blvd,,Littleton,CO,80123,(303) 614-1070,1356459564,Administrative Location,239
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Kaiser Foundation Health Plan Of Colorado,Kaiser Fndt Health Plan Of Colorado,"5555 E Arapahoe Road  Centennial CO 80122 (39.59598, -104.925179)",5555 E Arapahoe Road,,Centennial,CO,80122,(303) 614-1070,1356459564,Administrative Location,240
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Kaiser Foundation Health Plan Of Colorado,Kaiser Fndt Health Plan Of Colorado,"580 Mohawk Drive  Boulder CO 80303 (39.997563, -105.236116)",580 Mohawk Drive,,Boulder,CO,80303,(303) 614-1070,1356459564,Administrative Location,241
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Kaiser Foundation Health Plan Of Colorado,Kaiser Fndt Health Plan Of Colorado,"7701 Sheridan Blvd  Westminster CO 80003 (39.837126, -105.053884)",7701 Sheridan Blvd,,Westminster,CO,80003,(303) 614-1070,1356459564,Administrative Location,242
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Kaiser Foundation Health Plan Of Colorado,Kaiser Fndt Health Plan Of Colorado,"8383 W Alameda Ave  Lakewood CO 80226 (39.711777, -105.090146)",8383 W Alameda Ave,,Lakewood,CO,80226,(303) 614-1070,1356459564,Administrative Location,243
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Kaiser Foundation Health Plan Of Colorado,Kaiser Fndt Health Plan Of Colorado,"9285 Hepburn St  Highlands Ranch CO 80129 (39.547603, -105.00439)",9285 Hepburn St,,Highlands Ranch,CO,80129,(303) 614-1070,1356459564,Administrative Location,244
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Cumberland Memorial Hospital Inc,Cumberland Memorial Hospital Inc,"1705 16th Ave  Cumberland WI 54829 (45.541609, -92.052884)",1705 16th Ave,,Cumberland,WI,54829,(715) 822-7222,1831243757,Administrative Location,245
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Moses H Cone Memorial Hospital Operating Corporation,The Moses H Cone Memorial Hospital Operating Corporation,"1107 S Main St  Reidsville NC 27320 (36.348363, -79.667541)",1107 S Main St,,Reidsville,NC,27320,(336) 832-3236,1326524901,Administrative Location,246
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Moses H Cone Memorial Hospital Operating Corporation,The Moses H Cone Memorial Hospital Operating Corporation,"1240 Huffman Mill Rd  Burlington NC 27215 (36.06135, -79.502421)",1240 Huffman Mill Rd,,Burlington,NC,27215,(336) 538-8158,1326524901,Administrative Location,247
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Moses H Cone Memorial Hospital Operating Corporation,The Moses H Cone Memorial Hospital Operating Corporation,"1471 E Cone Blvd  Greensboro NC 27405 (36.11473, -79.76542)",1471 E Cone Blvd,,Greensboro,NC,27405,(336) 832-3236,1326524901,Administrative Location,248
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Moses H Cone Memorial Hospital Operating Corporation,The Moses H Cone Memorial Hospital Operating Corporation,"301 E Wendover Ave Ste 415 Greensboro NC 27401 (36.088398, -79.785902)",301 E Wendover Ave,Ste 415,Greensboro,NC,27401,(336) 832-3236,1326524901,Administrative Location,249
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Prana Diabetes Inc,Prana Diabetes Inc,"222 Merchandise Mart Plz Ste 228 Chicago IL 60654 (41.888538, -87.635552)",222 Merchandise Mart Plz,Ste 228,Chicago,IL,60654,(312) 566-7871,1144722653,Administrative Location,250
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Altamed Health Services Corp,Altamed Health Services Corp,"1814 W Lincoln Ave  Anaheim CA 92801 (33.832326, -117.946353)",1814 W Lincoln Ave,,Anaheim,CA,92801,(714) 399-4999,1255542601,Administrative Location,251
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Altamed Health Services Corp,Altamed Health Services Corp,"3945 Whittier Blvd  Los Angeles CA 90023 (34.024096, -118.18771)",3945 Whittier Blvd,,Los Angeles,CA,90023,(323) 265-1998,1255542601,Administrative Location,252
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Utah,University Of Utah,"1280 E Stringham Ave  Salt Lake City UT 84106 (40.720697, -111.854849)",1280 E Stringham Ave,,Salt Lake City,UT,84106,(801) 581-2000,1588656870,Administrative Location,253
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Utah,University Of Utah,"1525 W 2100 S  Salt Lake City UT 84119 (40.725745, -111.933447)",1525 W 2100 S,,Salt Lake City,UT,84119,(801) 213-9900,1588656870,Administrative Location,254
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Utah,University Of Utah,"165 N University Ave  Farmington UT 84025 (40.983258, -111.909705)",165 N University Ave,,Farmington,UT,84025,(801) 213-3200,1588656870,Administrative Location,255
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Utah,University Of Utah,"295 S Chipeta Way Ste 248 Salt Lake City UT 84108 (40.764546, -111.825755)",295 S Chipeta Way,Ste 248,Salt Lake City,UT,84108,(801) 213-8720,1588656870,Administrative Location,256
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Utah,University Of Utah,"3730 W 4700 S  West Valley City UT 84129 (40.668433, -111.979872)",3730 W 4700 S,,West Valley City,UT,84129,(801) 213-9200,1588656870,Administrative Location,257
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Utah,University Of Utah,"5126 W Daybreak Pkwy  South Jordan UT 84009 (40.541559, -112.013881)",5126 W Daybreak Pkwy,,South Jordan,UT,84009,(801) 213-4500,1588656870,Administrative Location,258
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Utah,University Of Utah,"530 S Wakara Way Rm 140 Salt Lake City UT 84108 (40.757461, -111.830504)",530 S Wakara Way,Rm 140,Salt Lake City,UT,84108,(801) 213-8720,1588656870,Administrative Location,259
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Utah,University Of Utah,"7495 S State St  Midvale UT 84047 (40.615916, -111.890047)",7495 S State St,,Midvale,UT,84047,(801) 213-9400,1588656870,Administrative Location,260
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Galen Medical Group, Pc","Galen Medical Group, Pc","1651 Gunbarrel Rd Ste 301 Chattanooga TN 37421 (35.021586, -85.163182)",1651 Gunbarrel Rd,Ste 301,Chattanooga,TN,37421,(423) 954-9010,1346250057,Administrative Location,261
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Galen Medical Group, Pc","Galen Medical Group, Pc","5864 Highway 153 Ste 116 Hixson TN 37343 (35.161941, -85.247612)",5864 Highway 153,Ste 116,Hixson,TN,37343,(423) 954-9010,1346250057,Administrative Location,262
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Trinidad Area Health Association,Trinidad Area Health Association,"410 Benedicta Ave Mt San Rafael Hospital Trinidad CO 81082 (37.173843, -104.488828)",410 Benedicta Ave,Mt San Rafael Hospital,Trinidad,CO,81082,(719) 845-4211,1184616740,Administrative Location,263
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Adirondack Medical Center,Adirondack Medical Center,"2233 State Route 86  Saranac Lake NY 12983 (44.345798, -74.144522)",2233 State Route 86,,Saranac Lake,NY,12983,(518) 897-2724,1821609215,Administrative Location,264
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Florida Department Of Health,Florida Department Of Health,"4704b W Montgomery Avenue  Tampa FL 33616 (27.877437, -82.522243)",4704b W Montgomery Avenue,,Tampa,FL,33616,(813) 307-8071,1124090832,Administrative Location,265
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tanana Chiefs Conference,Tanana Chiefs Conference,"1717 W Cowles St  Fairbanks AK 99701 (64.832364, -147.744623)",1717 W Cowles St,,Fairbanks,AK,99701,(907) 451-6682,1821201278,Administrative Location,266
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Hamakua Health Center, Inc.","Hamakua Health Center, Inc","53-3925 Akoni Pule Hwy  Kapaau HI 96755 (20.231064, -155.796835)",53-3925 Akoni Pule Hwy,,Kapaau,HI,96755,(808) 889-6236,1093868416,Administrative Location,267
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Hamakua Health Center, Inc.","Hamakua Health Center, Inc","55-524 Hawi Rd  Hawi HI 96719 (20.235664, -155.831936)",55-524 Hawi Rd,,Hawi,HI,96719,(808) 889-6236,1093868416,Community Setting,268
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Hamakua Health Center, Inc.","Hamakua Health Center, Inc.","45-549 Plumeria St  Honokaa HI 96727 (20.076094, -155.470378)",45-549 Plumeria St,,Honokaa,HI,96727,(808) 775-7204,1093868416,Administrative Location,269
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Peacehealth,Peacehealth Southwest Medical Cente,"2312 Ne 129th St Ste 120 Vancouver WA 98686 (45.715387, -122.647765)",2312 Ne 129th St,Ste 120,Vancouver,WA,98686,(360) 546-8900,1134178999,Administrative Location,270
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"104 S Franklin St  Tampa FL 33602 (27.94528, -82.456698)",104 S Franklin St,,Tampa,FL,33602,(813) 229-1305,1710434121,Community Setting,271
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"110 E Oak Ave  Tampa FL 33602 (27.962023, -82.460172)",110 E Oak Ave,,Tampa,FL,33602,(813) 224-9622,1710434121,Administrative Location,272
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"110 E Oak Ave  Tampa FL 33602 (27.962023, -82.460172)",110 E Oak Ave,,Tampa,FL,33602,(813) 224-9622,1710434121,Community Setting,273
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"1507 Ymca Pl  Plant City FL 33563 (27.988296, -82.135883)",1507 Ymca Pl,,Plant City,FL,33563,(813) 839-0210,1710434121,Community Setting,274
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"16221 Compton Dr  Tampa FL 33647 (28.10528, -82.385985)",16221 Compton Dr,,Tampa,FL,33647,(813) 866-9622,1710434121,Community Setting,275
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"3097 S Kingsway Rd  Seffner FL 33584 (27.966479, -82.278568)",3097 S Kingsway Rd,,Seffner,FL,33584,(813) 685-5402,1710434121,Community Setting,276
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"3414 Culbreath Rd  Valrico FL 33596 (27.892704, -82.247769)",3414 Culbreath Rd,,Valrico,FL,33596,(813) 684-1371,1710434121,Community Setting,277
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"37301 Chapel Hill Loop  Zephyrhills FL 33542 (28.247518, -82.199186)",37301 Chapel Hill Loop,,Zephyrhills,FL,33542,(813) 780-9622,1710434121,Community Setting,278
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"38035 Meridian Ave  Dade City FL 33525 (28.364943, -82.186482)",38035 Meridian Ave,,Dade City,FL,33525,(352) 521-0484,1710434121,Community Setting,279
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"4029 Northdale Blvd  Tampa FL 33624 (28.096492, -82.509582)",4029 Northdale Blvd,,Tampa,FL,33624,(813) 962-3220,1710434121,Community Setting,280
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"4411 S Himes Ave  Tampa FL 33611 (27.901836, -82.502617)",4411 S Himes Ave,,Tampa,FL,33611,(813) 839-0210,1710434121,Community Setting,281
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"6901 Simmons Loop  Riverview FL 33578 (27.788264, -82.344958)",6901 Simmons Loop,,Riverview,FL,33578,(813) 302-8000,1710434121,Community Setting,282
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"8950 W Waters Ave  Tampa FL 33615 (28.026743, -82.588886)",8950 W Waters Ave,,Tampa,FL,33615,(813) 249-8510,1710434121,Community Setting,283
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"9840 Balm Riverview Rd  Riverview FL 33569 (27.858122, -82.316319)",9840 Balm Riverview Rd,,Riverview,FL,33569,(813) 677-8400,1710434121,Community Setting,284
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"9878 W Linebaugh Ave  Tampa FL 33626 (28.043871, -82.596508)",9878 W Linebaugh Ave,,Tampa,FL,33626,(813) 792-7838,1710434121,Community Setting,285
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Legacy Good Samaritan Hospital And Medical Center,Legacy Good Samaritan Hospital,"1919 Nw Lovejoy St  Portland OR 97209 (45.530294, -122.691381)",1919 Nw Lovejoy St,,Portland,OR,97209,(503) 413-7557,1679597108,Administrative Location,286
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Mercy Clinic East Communities,Mercy Diabetes Prevention Program,"15945 Clayton Rd Ste 310 Ballwin MO 63011 (38.605375, -90.587647)",15945 Clayton Rd,Ste 310,Ballwin,MO,63011,(636) 893-1356,1700370061,Administrative Location,287
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Mercy Clinic East Communities,Mercy Diabetes Prevention Program,"15945 Clayton Rd Ste 310 Ballwin MO 63011 (38.605375, -90.587647)",15945 Clayton Rd,Ste 310,Ballwin,MO,63011,(636) 893-1356,1700370061,Community Setting,288
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Eisenhower Medical Center,Eisenhower Medical Center,"39000 Bob Hope Dr  Rancho Mirage CA 92270 (33.76419, -116.407374)",39000 Bob Hope Dr,,Rancho Mirage,CA,92270,(760) 837-8524,1013981554,Administrative Location,289
Medicare Diabetes Prevention Program (MDPP) Expanded Model,County Of Sedgwick,Central Plains Area Agency On Aging,"271 W 3rd St N Ste 500 Wichita KS 67202 (37.691325, -97.340048)",271 W 3rd St N,Ste 500,Wichita,KS,67202,(316) 660-7298,1679610539,Administrative Location,290
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Watertown Ny Inc,The Young Men'S Christian Associati,"119 Washington St  Watertown NY 13601 (43.974014, -75.910304)",119 Washington St,,Watertown,NY,13601,(315) 782-3100,1558806034,Administrative Location,291
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Mt,Providence Health & Services Mt,"3000 S Russell St  Missoula MT 59801 (46.843409, -114.018467)",3000 S Russell St,,Missoula,MT,59801,(406) 329-5781,1881191948,Community Setting,292
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Mt,Providence Health & Services Mt,"500 W Broadway St Ste 320 Missoula MT 59802 (46.874888, -114.000237)",500 W Broadway St,Ste 320,Missoula,MT,59802,(406) 329-5781,1881191948,Administrative Location,293
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Mt,Providence Health & Services Mt,"500 W Broadway St  Missoula MT 59802 (46.874888, -114.000237)",500 W Broadway St,,Missoula,MT,59802,(406) 329-5781,1881191948,Administrative Location,294
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Mt,Providence Health & Services Mt,"5529 Old U.S. 93  Florence MT 59833 (46.636734, -114.077816)",5529 Old U.S. 93,,Florence,MT,59833,(406) 329-5781,1881191948,Community Setting,295
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Mt,Providence Health & Services Mt,"900 N Orange St Ste 304 Missoula MT 59802 (46.878463, -113.992367)",900 N Orange St,Ste 304,Missoula,MT,59802,(406) 329-5781,1881191948,Administrative Location,296
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Community Memorial Hospital Association,Community Memorial Hospital,"512 Skyline Blvd  Cloquet MN 55720 (46.73176, -92.463614)",512 Skyline Blvd,,Cloquet,MN,55720,(218) 879-4641,1003869082,Administrative Location,297
Medicare Diabetes Prevention Program (MDPP) Expanded Model,County Of Johnson,County Of Johnson,"11875 S Sunset Dr Ste 300 Jcdhe Olathe KS 66061 (38.913913, -94.80241)",11875 S Sunset Dr Ste 300,Jcdhe,Olathe,KS,66061,(913) 477-8119,1639133085,Administrative Location,298
Medicare Diabetes Prevention Program (MDPP) Expanded Model,County Of Johnson,County Of Johnson,"4800 Town Center Dr Leawood City Hall Leawood KS 66211 (38.917898, -94.641169)",4800 Town Center Dr,Leawood City Hall,Leawood,KS,66211,(913) 477-8119,1639133085,Community Setting,299
Medicare Diabetes Prevention Program (MDPP) Expanded Model,County Of Johnson,County Of Johnson,"6000 Lamar Ave Jcdhe Mission Office Mission KS 66202 (39.019693, -94.66021)",6000 Lamar Ave,Jcdhe Mission Office,Mission,KS,66202,(913) 477-8119,1639133085,Community Setting,300
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Madison County Rural Health Council Inc,Madison County Rural Health Council Inc,"10 Kennedy Pkwy  Cortland NY 13045 (42.6104, -76.163719)",10 Kennedy Pkwy,,Cortland,NY,13045,(607) 756-4198,1144792052,Community Setting,301
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Madison County Rural Health Council Inc,Madison County Rural Health Council Inc,"2119 W Genesee Street Rd  Auburn NY 13021 (42.918755, -76.600078)",2119 W Genesee Street Rd,,Auburn,NY,13021,(315) 252-4212,1144792052,Community Setting,302
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Madison County Rural Health Council Inc,Madison County Rural Health Council Inc,"2662 Us Route 20 Ste 1 Cazenovia NY 13035 (42.919682, -75.81949)",2662 Us Route 20,Ste 1,Cazenovia,NY,13035,(607) 316-2175,1144792052,Administrative Location,303
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Advanced Rehabilitation And Health Specialists Inc,Advanced Rehabilitation And Health Specialists Inc,"4707 Mill St  Mantua OH 44255 (41.281267, -81.222642)",4707 Mill St,,Mantua,OH,44255,(330) 274-2747,1780763763,Administrative Location,304
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Texas Medical Branch At Galveston,University Of Texas Medical Branch At Galveston,"1200 Market St  Galveston TX 77555 (29.308692, -94.781225)",1200 Market St,,Galveston,TX,77555,(409) 763-5604,1548226988,Administrative Location,305
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Texas Medical Branch At Galveston,University Of Texas Medical Branch At Galveston,"140 E Hospital Dr Utmb Health Fws Center For Health Angleton TX 77515 (29.18474, -95.403478)",140 E Hospital Dr,Utmb Health Fws Center For Health,Angleton,TX,77515,(979) 848-9120,1548226988,Administrative Location,306
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Texas Medical Branch At Galveston,University Of Texas Medical Branch At Galveston,"2660 Gulf Fwy S Ste 9 Utmb Health Multispecialty Center League City TX 77573 (29.45507, -95.082562)",2660 Gulf Fwy S Ste 9,Utmb Health Multispecialty Center,League City,TX,77573,(832) 505-2300,1548226988,Administrative Location,307
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Concord Hospital Inc,Concord Hospital Inc,"250 Pleasant St Concord Hospital Concord NH 03301 (43.19782, -71.561783)",250 Pleasant St,Concord Hospital,Concord,NH,03301,(603) 227-7000,1194778571,Administrative Location,308
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Concord Hospital Inc,Concord Hospital Inc,"49 S Main St Center For Health Promotion Concord NH 03301 (43.20178, -71.533975)",49 S Main St,Center For Health Promotion,Concord,NH,03301,(603) 227-7300,1194778571,Administrative Location,309
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"1000 N Main St Sevier Valley Hospital Richfield UT 84701 (38.782645, -112.083803)",1000 N Main St,Sevier Valley Hospital,Richfield,UT,84701,(801) 507-2478,1639643349,Community Setting,310
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"1034 N 500 W Utah Valley Hospital Provo UT 84604 (40.248421, -111.666698)",1034 N 500 W,Utah Valley Hospital,Provo,UT,84604,(801) 357-8143,1639643349,Community Setting,311
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"1303 N Main St Cedar City Hospital Cedar City UT 84721 (37.699766, -113.066541)",1303 N Main St,Cedar City Hospital,Cedar City,UT,84721,(801) 507-2478,1639643349,Community Setting,312
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"1501 Hiland Ave Cassia Regional Hospital Burley ID 83318 (42.53398, -113.781283)",1501 Hiland Ave,Cassia Regional Hospital,Burley,ID,83318,(801) 507-2478,1639643349,Community Setting,313
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"170 N 1100 E American Fork Hospital American Fork UT 84003 (40.380788, -111.768967)",170 N 1100 E,American Fork Hospital,American Fork,UT,84003,(801) 855-3461,1639643349,Community Setting,314
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"201 W Layton Pkwy Intermountain Layton Hospital Layton UT 84041 (41.053031, -111.968608)",201 W Layton Pkwy,Intermountain Layton Hospital,Layton,UT,84041,(801) 525-5707,1639643349,Community Setting,315
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"4401 Harrison Blvd Mckay-Dee Hospital Ogden UT 84403 (41.183814, -111.953783)",4401 Harrison Blvd,Mckay-Dee Hospital,Ogden,UT,84403,(801) 525-5707,1639643349,Community Setting,316
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"500 E 1400 N Logan Regional Hospital Logan UT 84341 (41.75762, -111.822316)",500 E 1400 N,Logan Regional Hospital,Logan,UT,84341,(801) 507-2478,1639643349,Community Setting,317
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"5121 S Cottonwood St  Murray UT 84107 (40.660581, -111.89116)",5121 S Cottonwood St,,Murray,UT,84107,(801) 507-2480,1639643349,Administrative Location,318
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"515 S 300 E  St George UT 84770 (37.099374, -113.57625)",515 S 300 E,,St George,UT,84770,(435) 251-3793,1639643349,Community Setting,319
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"8th Ave C St  Salt Lake City UT 84143 (40.778486, -111.866342)",8th Ave C St,,Salt Lake City,UT,84143,(801) 507-3253,1639643349,Community Setting,320
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"935 N 1000 W Bear River Valley Hospital Tremonton UT 84337 (41.726103, -112.181289)",935 N 1000 W,Bear River Valley Hospital,Tremonton,UT,84337,(801) 507-2478,1639643349,Community Setting,321
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Ihc Health Services Inc,Ihc Health Services Inc,"9660 S 1300 E  Sandy UT 84094 (40.576037, -111.853745)",9660 S 1300 E,,Sandy,UT,84094,(801) 507-3253,1639643349,Community Setting,322
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Pottstown Medical Specialists Inc,"Pottstown Medical Specialists, Inc","1601 Medical Dr Pmsi Administrative Office Pottstown PA 19464 (40.240675, -75.612313)",1601 Medical Dr,Pmsi Administrative Office,Pottstown,PA,19464,(610) 327-4200,1053428425,Administrative Location,323
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Southwest District Health,Southwest District Health,"1008 E Locust St  Emmett ID 83617 (43.878912, -116.487108)",1008 E Locust St,,Emmett,ID,83617,(208) 365-6371,1598748337,Community Setting,324
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Southwest District Health,Southwest District Health,"1155 3rd Ave N  Payette ID 83661 (44.077983, -116.929489)",1155 3rd Ave N,,Payette,ID,83661,(208) 642-9321,1598748337,Community Setting,325
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Southwest District Health,Southwest District Health,"132 E. Idaho Street  Homedale ID 83628 (43.617889, -116.932098)",132 E. Idaho Street,,Homedale,ID,83628,(208) 337-4931,1598748337,Community Setting,326
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Southwest District Health,Southwest District Health,"13307 Miami Ln  Caldwell ID 83607 (43.605603, -116.659202)",13307 Miami Ln,,Caldwell,ID,83607,(208) 455-5305,1598748337,Administrative Location,327
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Southwest District Health,Southwest District Health,"46 W Court St  Weiser ID 83672 (44.247528, -116.970147)",46 W Court St,,Weiser,ID,83672,(208) 549-2370,1598748337,Community Setting,328
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Lakeland Regional Health Systems Inc,Lakeland Regional Health Systems Inc,"130 Pablo St  Lakeland FL 33803 (28.012237, -81.958327)",130 Pablo St,,Lakeland,FL,33803,(863) 284-3950,1497748743,Administrative Location,329
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Lakeland Regional Health Systems Inc,Lakeland Regional Health Systems Inc,"3030 Harden Blvd  Lakeland FL 33803 (28.009733, -81.973918)",3030 Harden Blvd,,Lakeland,FL,33803,(863) 284-1604,1497748743,Administrative Location,330
